Make,Model,Year,Engine Fuel Type,Engine HP,Engine Cylinders,Transmission Type,Driven_Wheels,Number of Doors,Vehicle Size,Vehicle Style,highway MPG,city mpg,Popularity,MSRP,Total MPG,Price per HP,MSRP(K)
nissan,240sx,1996,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,26,19,2009,3520,22.5,22.70967741935484,3.52
nissan,240sx,1997,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,26,19,2009,3910,22.5,25.225806451612904,3.91
nissan,240sx,1997,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,26,19,2009,4182,22.5,26.980645161290322,4.182
nissan,240sx,1997,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,26,19,2009,4107,22.5,26.496774193548386,4.107
nissan,240sx,1998,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,25,20,2009,4299,22.5,27.73548387096774,4.299
nissan,240sx,1998,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,25,20,2009,4693,22.5,30.27741935483871,4.693
nissan,240sx,1998,regular unleaded,155.0,4.0,manual,rear wheel drive,2.0,compact,coupe,25,20,2009,4107,22.5,26.496774193548386,4.107
mazda,2,2012,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,compact,4dr hatchback,35,29,586,16020,32.0,160.2,16.02
mazda,2,2012,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,compact,4dr hatchback,35,29,586,14530,32.0,145.3,14.53
mazda,2,2012,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,compact,4dr hatchback,34,28,586,16860,31.0,168.6,16.86
mazda,2,2012,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,compact,4dr hatchback,34,28,586,15370,31.0,153.7,15.37
mazda,2,2013,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,compact,4dr hatchback,34,28,586,17050,31.0,170.5,17.05
mazda,2,2013,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,compact,4dr hatchback,34,28,586,15560,31.0,155.6,15.56
mazda,2,2013,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,compact,4dr hatchback,35,29,586,16210,32.0,162.1,16.21
mazda,2,2013,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,compact,4dr hatchback,35,29,586,14720,32.0,147.2,14.72
mazda,2,2014,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,compact,4dr hatchback,34,28,586,17050,31.0,170.5,17.05
mazda,2,2014,regular unleaded,100.0,4.0,automatic,front wheel drive,4.0,compact,4dr hatchback,34,28,586,15560,31.0,155.6,15.56
mazda,2,2014,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,compact,4dr hatchback,35,29,586,16210,32.0,162.1,16.21
mazda,2,2014,regular unleaded,100.0,4.0,manual,front wheel drive,4.0,compact,4dr hatchback,35,29,586,14720,32.0,147.2,14.72
bmw,3 series gran turismo,2015,premium unleaded (required),300.0,6.0,automatic,all wheel drive,4.0,midsize,4dr hatchback,30,20,3916,47250,25.0,157.5,47.25
bmw,3 series gran turismo,2015,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,midsize,4dr hatchback,33,22,3916,41850,27.5,174.375,41.85
bmw,3 series gran turismo,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,midsize,4dr hatchback,34,22,3916,43000,28.0,179.16666666666666,43.0
bmw,3 series gran turismo,2016,premium unleaded (required),300.0,6.0,automatic,all wheel drive,4.0,midsize,4dr hatchback,30,20,3916,49200,25.0,164.0,49.2
bmw,3 series gran turismo,2017,premium unleaded (required),320.0,6.0,automatic,all wheel drive,4.0,midsize,4dr hatchback,30,20,3916,49650,25.0,155.15625,49.65
bmw,3 series gran turismo,2017,premium unleaded (required),248.0,4.0,automatic,all wheel drive,4.0,midsize,4dr hatchback,33,23,3916,43950,28.0,177.21774193548387,43.95
bmw,3 series,2015,premium unleaded (required),241.0,4.0,automatic,all wheel drive,4.0,midsize,wagon,33,22,3916,41950,27.5,174.06639004149378,41.95
bmw,3 series,2015,premium unleaded (required),335.0,6.0,automatic,rear wheel drive,4.0,midsize,sedan,33,25,3916,50150,29.0,149.70149253731344,50.15
bmw,3 series,2015,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,35,23,3916,37500,29.0,156.25,37.5
bmw,3 series,2015,premium unleaded (required),300.0,6.0,automatic,rear wheel drive,4.0,midsize,sedan,32,21,3916,43750,26.5,145.83333333333334,43.75
bmw,3 series,2015,diesel,180.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,45,32,3916,39000,38.5,216.66666666666666,39.0
bmw,3 series,2015,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,33,22,3916,39500,27.5,164.58333333333334,39.5
bmw,3 series,2015,premium unleaded (required),180.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,35,23,3916,34950,29.0,194.16666666666666,34.95
bmw,3 series,2015,premium unleaded (required),300.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,30,20,3916,45750,25.0,152.5,45.75
bmw,3 series,2015,diesel,180.0,4.0,automatic,all wheel drive,4.0,midsize,wagon,43,31,3916,43450,37.0,241.38888888888889,43.45
bmw,3 series,2015,diesel,180.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,43,31,3916,41000,37.0,227.77777777777777,41.0
bmw,3 series,2015,premium unleaded (required),180.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,36,24,3916,32950,30.0,183.05555555555554,32.95
bmw,3 series,2016,diesel,180.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,40,30,3916,41850,35.0,232.5,41.85
bmw,3 series,2016,premium unleaded (required),320.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,33,22,3916,47800,27.5,149.375,47.8
bmw,3 series,2016,diesel,180.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,42,32,3916,39850,37.0,221.38888888888889,39.85
bmw,3 series,2016,premium unleaded (required),240.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,34,22,3916,38350,28.0,159.79166666666666,38.35
bmw,3 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,34,22,3916,40350,28.0,168.125,40.35
bmw,3 series,2016,premium unleaded (required),240.0,4.0,manual,rear wheel drive,4.0,midsize,sedan,34,22,3916,38350,28.0,159.79166666666666,38.35
bmw,3 series,2016,premium unleaded (required),240.0,4.0,automatic,all wheel drive,4.0,midsize,wagon,34,22,3916,42650,28.0,177.70833333333334,42.65
bmw,3 series,2016,premium unleaded (required),180.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,36,24,3916,33150,30.0,184.16666666666666,33.15
bmw,3 series,2016,premium unleaded (required),180.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,35,23,3916,35150,29.0,195.27777777777777,35.15
bmw,3 series,2016,diesel,180.0,4.0,automatic,all wheel drive,4.0,midsize,wagon,40,30,3916,44150,35.0,245.27777777777777,44.15
bmw,3 series,2016,premium unleaded (required),320.0,6.0,automatic,rear wheel drive,4.0,midsize,sedan,33,22,3916,45800,27.5,143.125,45.8
bmw,3 series,2017,premium unleaded (recommended),248.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,34,23,3916,38750,28.5,156.25,38.75
bmw,3 series,2017,premium unleaded (recommended),180.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,34,23,3916,35450,28.5,196.94444444444446,35.45
bmw,3 series,2017,premium unleaded (recommended),180.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,35,23,3916,33450,29.0,185.83333333333334,33.45
bmw,3 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,33,23,3916,40750,28.0,164.31451612903226,40.75
bmw,3 series,2017,diesel,180.0,4.0,automatic,all wheel drive,4.0,midsize,sedan,40,30,3916,42250,35.0,234.72222222222223,42.25
bmw,3 series,2017,premium unleaded (recommended),248.0,4.0,automatic,all wheel drive,4.0,midsize,wagon,33,23,3916,42950,28.0,173.18548387096774,42.95
bmw,3 series,2017,diesel,180.0,4.0,automatic,rear wheel drive,4.0,midsize,sedan,42,32,3916,40250,37.0,223.61111111111111,40.25
bmw,3 series,2017,premium unleaded (recommended),320.0,6.0,automatic,all wheel drive,4.0,midsize,sedan,31,21,3916,49900,26.0,155.9375,49.9
bmw,3 series,2017,premium unleaded (recommended),320.0,6.0,automatic,rear wheel drive,4.0,midsize,sedan,32,21,3916,47900,26.5,149.6875,47.9
bmw,3 series,2017,diesel,180.0,4.0,automatic,all wheel drive,4.0,midsize,wagon,40,30,3916,44450,35.0,246.94444444444446,44.45
mitsubishi,3000gt,1997,regular unleaded,218.0,6.0,manual,front wheel drive,2.0,compact,2dr hatchback,23,17,436,3941,20.0,18.077981651376145,3.941
mitsubishi,3000gt,1997,regular unleaded,161.0,6.0,manual,front wheel drive,2.0,compact,2dr hatchback,22,17,436,3295,19.5,20.46583850931677,3.295
mitsubishi,3000gt,1997,regular unleaded,320.0,6.0,manual,all wheel drive,2.0,compact,2dr hatchback,22,16,436,6008,19.0,18.775,6.008
mitsubishi,3000gt,1998,regular unleaded,320.0,6.0,manual,all wheel drive,2.0,compact,2dr hatchback,22,16,436,6710,19.0,20.96875,6.71
mitsubishi,3000gt,1998,regular unleaded,161.0,6.0,manual,front wheel drive,2.0,compact,2dr hatchback,22,17,436,3701,19.5,22.987577639751553,3.701
mitsubishi,3000gt,1998,regular unleaded,218.0,6.0,manual,front wheel drive,2.0,compact,2dr hatchback,23,17,436,4671,20.0,21.426605504587155,4.671
mitsubishi,3000gt,1999,regular unleaded,218.0,6.0,manual,front wheel drive,2.0,compact,2dr hatchback,23,17,436,5306,20.0,24.339449541284402,5.306
mitsubishi,3000gt,1999,regular unleaded,320.0,6.0,manual,all wheel drive,2.0,compact,2dr hatchback,22,16,436,7600,19.0,23.75,7.6
mitsubishi,3000gt,1999,regular unleaded,161.0,6.0,manual,front wheel drive,2.0,compact,2dr hatchback,22,17,436,4090,19.5,25.403726708074533,4.09
chrysler,300,2015,regular unleaded,300.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,37570,22.5,125.23333333333333,37.57
chrysler,300,2015,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,31695,25.0,108.54452054794521,31.695
chrysler,300,2015,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,38070,25.0,130.37671232876713,38.07
chrysler,300,2015,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,44895,22.5,153.75,44.895
chrysler,300,2015,regular unleaded,300.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,35070,25.0,116.9,35.07
chrysler,300,2015,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,42395,25.0,145.18835616438355,42.395
chrysler,300,2015,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,34195,22.5,117.10616438356165,34.195
chrysler,300,2015,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,40570,22.5,138.93835616438355,40.57
chrysler,300,2016,regular unleaded,300.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,38095,22.5,126.98333333333333,38.095
chrysler,300,2016,regular unleaded,300.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,35595,25.0,118.65,35.595
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,45190,22.5,154.76027397260273,45.19
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,32260,25.0,110.47945205479452,32.26
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,37755,22.5,129.29794520547946,37.755
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,41055,22.5,140.59931506849315,41.055
chrysler,300,2016,regular unleaded,300.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,36090,25.0,120.3,36.09
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,42690,25.0,146.1986301369863,42.69
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,38555,25.0,132.0376712328767,38.555
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,31,19,1013,35255,25.0,120.73630136986301,35.255
chrysler,300,2016,regular unleaded,300.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,38590,22.5,128.63333333333333,38.59
chrysler,300,2016,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,34760,22.5,119.04109589041096,34.76
chrysler,300,2017,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,41135,22.5,140.87328767123287,41.135
chrysler,300,2017,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,45270,22.5,155.03424657534248,45.27
chrysler,300,2017,regular unleaded,300.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,38670,22.5,128.9,38.67
chrysler,300,2017,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,30,19,1013,38635,24.5,132.31164383561645,38.635
chrysler,300,2017,regular unleaded,300.0,6.0,automatic,rear wheel drive,4.0,large,sedan,30,19,1013,36170,24.5,120.56666666666666,36.17
chrysler,300,2017,regular unleaded,300.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,38175,22.5,127.25,38.175
chrysler,300,2017,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,30,19,1013,32340,24.5,110.75342465753425,32.34
chrysler,300,2017,regular unleaded,292.0,6.0,automatic,rear wheel drive,4.0,large,sedan,30,19,1013,42770,24.5,146.47260273972603,42.77
chrysler,300,2017,regular unleaded,292.0,6.0,automatic,all wheel drive,4.0,large,sedan,27,18,1013,34840,22.5,119.31506849315069,34.84
chrysler,300,2017,regular unleaded,300.0,6.0,automatic,rear wheel drive,4.0,large,sedan,30,19,1013,35675,24.5,118.91666666666667,35.675
chrysler,300m,2002,premium unleaded (required),250.0,6.0,automatic,front wheel drive,4.0,large,sedan,24,16,1013,32065,20.0,128.26,32.065
chrysler,300m,2002,premium unleaded (required),250.0,6.0,automatic,front wheel drive,4.0,large,sedan,24,16,1013,28540,20.0,114.16,28.54
chrysler,300m,2003,premium unleaded (required),255.0,6.0,automatic,front wheel drive,4.0,large,sedan,25,16,1013,32315,20.5,126.72549019607843,32.315
chrysler,300m,2003,regular unleaded,250.0,6.0,automatic,front wheel drive,4.0,large,sedan,25,16,1013,28885,20.5,115.54,28.885
chrysler,300m,2004,regular unleaded,250.0,6.0,automatic,front wheel drive,4.0,large,sedan,25,16,1013,29185,20.5,116.74,29.185
chrysler,300m,2004,premium unleaded (required),255.0,6.0,automatic,front wheel drive,4.0,large,sedan,25,16,1013,32615,20.5,127.90196078431373,32.615
nissan,300zx,1995,regular unleaded,300.0,6.0,manual,rear wheel drive,2.0,compact,coupe,22,16,2009,3049,19.0,10.163333333333334,3.049
nissan,300zx,1995,regular unleaded,222.0,6.0,manual,rear wheel drive,2.0,compact,coupe,22,17,2009,2774,19.5,12.495495495495495,2.774
nissan,300zx,1995,regular unleaded,222.0,6.0,manual,rear wheel drive,2.0,compact,coupe,22,17,2009,2702,19.5,12.17117117117117,2.702
nissan,300zx,1995,regular unleaded,222.0,6.0,manual,rear wheel drive,2.0,compact,convertible,22,17,2009,3101,19.5,13.968468468468469,3.101
nissan,300zx,1996,regular unleaded,300.0,6.0,manual,rear wheel drive,2.0,compact,coupe,22,16,2009,3510,19.0,11.7,3.51
nissan,300zx,1996,regular unleaded,222.0,6.0,manual,rear wheel drive,2.0,compact,coupe,22,17,2009,3107,19.5,13.995495495495495,3.107
nissan,300zx,1996,regular unleaded,222.0,6.0,manual,rear wheel drive,2.0,compact,convertible,22,17,2009,3624,19.5,16.324324324324323,3.624
nissan,300zx,1996,regular unleaded,222.0,6.0,manual,rear wheel drive,2.0,compact,coupe,22,17,2009,3185,19.5,14.346846846846846,3.185
nissan,350z,2007,regular unleaded,306.0,6.0,automatic,rear wheel drive,2.0,compact,convertible,23,17,2009,36550,20.0,119.44444444444444,36.55
nissan,350z,2007,regular unleaded,306.0,6.0,automatic,rear wheel drive,2.0,compact,convertible,23,17,2009,41250,20.0,134.80392156862746,41.25
nissan,350z,2007,regular unleaded,306.0,6.0,automatic,rear wheel drive,2.0,compact,coupe,24,17,2009,30600,20.5,100.0,30.6
nissan,350z,2007,regular unleaded,306.0,6.0,automatic,rear wheel drive,2.0,compact,coupe,24,17,2009,37100,20.5,121.24183006535948,37.1
nissan,350z,2007,regular unleaded,306.0,6.0,manual,rear wheel drive,2.0,compact,coupe,25,18,2009,27900,21.5,91.17647058823529,27.9
nissan,350z,2007,regular unleaded,306.0,6.0,manual,rear wheel drive,2.0,compact,coupe,25,18,2009,32700,21.5,106.86274509803921,32.7
nissan,350z,2007,regular unleaded,306.0,6.0,manual,rear wheel drive,2.0,compact,convertible,24,17,2009,40250,20.5,131.5359477124183,40.25
